Beer Name (Full),Name,Brewery,Style_Main,Style_Sub,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Fordham Brewing Company Fordham Copperhead Ale,Copperhead Ale,Fordham Brewing Company,Altbier,None,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,84
Victory Brewing Company Ten Years Alt,Ten Years Alt,Victory Brewing Company,Altbier,None,8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.834661,4.0,3.982072,3.99004,3.886454,251
Mother's Brewing Company Three Blind Mice,Three Blind Mice,Mother's Brewing Company,Altbier,None,5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,7
Rising Tide Brewing Company Ishmael,Ishmael,Rising Tide Brewing Company,Altbier,None,4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,35
Tuckerman Brewing Co. Headwall Alt,Headwall Alt,Tuckerman Brewing Co.,Altbier,None,4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.709877,3.734568,3.820988,81
Hops & Grain Alt-eration Ale,Alt-eration Ale,Hops & Grain,Altbier,None,5.0,25,50,21,43,3,54,54,7,0,10,60,9,111,5.0,4.0,4.0,4.0,4.5,1
August Schell Brewing Company Barrel Aged Schmaltz's Alt,Schell's Schmaltz's Alt,August Schell Brewing Company,Altbier,None,5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.7375,3.9375,4.075,40
Privatbrauerei Frankenheim Frankenheim Alt,Frankenheim Alt,Privatbrauerei Frankenheim,Altbier,None,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.698413,3.72619,3.853175,126
Metropolitan Brewing Iron Works Alt,Iron Works Alt,Metropolitan Brewing,Altbier,None,5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4.044118,4.0,4.0,34
Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG,Altbier,None,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.625,3.875,8
Mission Brewery Mission Amber,Mission Amber,Mission Brewery,Altbier,None,5.0,25,50,24,36,9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.411765,3.588235,3.470588,17
Hövels Hausbrauerei Hövels Original Bitterbier,Hövels Original,Hövels Hausbrauerei,Altbier,None,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.711538,3.615385,3.75,26
Evolution Craft Brewing Company Secret Spot Winter Ale,Secret Spot Alt Ale,Evolution Craft Brewing Company,Altbier,None,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.625,3.625,4.0,4.0,4.125,4
Cheboygan Brewing Company Lighthouse Amber,Lighthouse Amber,Cheboygan Brewing Company,Altbier,None,5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4.0,4.0,4.0,4.0,4.0,1
Les Trois Mousquetaires Série Signature Sticke Alt,Série Signature Sticke Alt,Les Trois Mousquetaires,Altbier,None,6.0,25,50,17,57,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.983333,3.916667,3.866667,30
Driftwood Brewery Crooked Coast Amber Ale,Crooked Coast Altbier,Driftwood Brewery,Altbier,None,5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,18
Rahr & Sons Brewing Company Gravel Road,Gravel Road,Rahr & Sons Brewing Company,Altbier,None,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,22
Grimm Brothers Brewhouse Little Red Cap,Little Red Cap,Grimm Brothers Brewhouse,Altbier,None,5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4.0,3
Beau's All Natural Brewing Company Festivale,Festivale,Beau's All Natural Brewing Company,Altbier,None,4.7,25,50,29,30,9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.727273,3.636364,3.681818,22
Buzzards Bay Brewing Moby D,Moby D,Buzzards Bay Brewing,Altbier,None,5.0,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,11
Rush River Brewing Company Über Alt,Über Alt,Rush River Brewing Company,Altbier,None,8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,15
Brauerei Im Füchschen Im Füchschen Alt,Füchschen Alt,Brauerei Im Füchschen,Altbier,None,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,21
O'Fallon Brewery Sticke It To The Man,Sticke It To The Man,O'Fallon Brewery,Altbier,None,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,33
Blue Mountain Brewery Evan Altmighty,Evan Altmighty,Blue Mountain Brewery,Altbier,None,6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4.0,3.9,3.9,4.0,4.1,5
COAST Brewing Company ALTerior Motive,ALTerior Motive,COAST Brewing Company,Altbier,None,6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,16
Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,The Detroit Dwarf,Detroit Beer Co.,Altbier,None,6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.810345,3.689655,3.827586,29
Dogfish Head Brewery Olde School Barleywine,Olde School Barleywine,Dogfish Head Brewery,Barleywine,American,15.0,60,100,20,55,82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.901837,3.931688,3.704363,871
Central Waters Brewing Company Bourbon Barrel Barleywine,Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Company,Barleywine,American,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,302
Great Divide Brewing Company Old Ruffian Barley Wine,Old Ruffian,Great Divide Brewing Company,Barleywine,American,10.2,60,100,6,55,31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.231629,4.285942,4.071885,939
Victory Brewing Company Old Horizontal,Old Horizontal,Victory Brewing Company,Barleywine,American,11.0,60,100,9,49,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.084191,4.14406,3.963517,1069
Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,Behemoth,Three Floyds Brewing Co. & Brewpub,Barleywine,American,10.5,60,100,18,71,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.187788,4.264977,4.059908,434
Lagunitas Brewing Company Olde GnarlyWine,Olde GnarlyWine,Lagunitas Brewing Company,Barleywine,American,10.9,60,100,14,49,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.082651,4.12766,4.016367,611
AleSmith Brewing Company AleSmith Old Numbskull,Old Numbskull,AleSmith Brewing Company,Barleywine,American,11.0,60,100,14,58,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.137255,4.221289,4.102241,357
Tröegs Brewing Company Flying Mouflan,Flying Mouflan,Tröegs Brewing Company,Barleywine,American,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.141304,4.23587,4.083696,460
Rogue Ales XS Old Crustacean,XS Old Crustacean,Rogue Ales,Barleywine,American,11.5,60,100,13,51,35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.061166,4.064011,3.738265,703
Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room,Barleywine,American,11.5,60,100,14,55,34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.022876,4.253813,4.021786,459
Firestone Walker Brewing Co. Helldorado,Helldorado,Firestone Walker Brewing Co.,Barleywine,American,12.8,60,100,6,39,56,25,101,23,5,45,48,21,134,4.5,4.0,4.0,4.5,4.5,1
Uinta Brewing Company Cockeyed Cooper,Cockeyed Cooper,Uinta Brewing Company,Barleywine,American,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.843333,3.88,3.813333,150
Brasserie Dieu Du Ciel Solstice D'hiver,Solstice D'hiver,Brasserie Dieu Du Ciel,Barleywine,American,10.2,60,100,23,54,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.881034,3.927586,3.817241,290
Uinta Brewing Company Anniversary Barley Wine,Anniversary Barley Wine Ale,Uinta Brewing Company,Barleywine,American,10.4,60,100,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,284
Green Flash Brewing Co. Barleywine Style Ale,Barleywine Style Ale,Green Flash Brewing Co.,Barleywine,American,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.89255,3.84384,3.732092,349
21st Amendment Brewery Lower Da Boom Barleywine,Lower De Boom Barleywine,21st Amendment Brewery,Barleywine,American,11.5,60,100,11,60,47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.785714,3.428571,3.5,7
Boulder Beer / Wilderness Pub Killer Penguin Barleywine,Killer Penguin Barleywine,Boulder Beer / Wilderness Pub,Barleywine,American,10.0,60,100,8,34,33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.595238,3.521645,3.573593,231
Alpine Beer Company Great,Great,Alpine Beer Company,Barleywine,American,14.0,60,100,8,47,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.205882,4.5,4.163866,119
Boston Beer Company (Samuel Adams) Griffin's Bow,Griffin's BowBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams),Barleywine,American,11.5,60,100,5,65,41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.586207,3.442529,3.465517,87
Real Ale Brewing Company Sisyphus,Sisyphus,Real Ale Brewing Company,Barleywine,American,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.909091,3.903846,3.826923,286
East End Brewing Company Gratitude,Gratitude,East End Brewing Company,Barleywine,American,11.5,60,100,10,69,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.205729,4.369792,4.174479,192
The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,Barleywine Ale,The Duck-Rabbit Craft Brewery,Barleywine,American,11.0,60,100,14,57,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.829932,3.809524,3.721088,294
Rock Art Brewery Vermonster,The Vermonster,Rock Art Brewery,Barleywine,American,10.0,60,100,34,41,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.861386,3.910891,3.816832,202
Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),Smuttynose Barleywine Style Ale (Big Beer Series),Smuttynose Brewing Company,Barleywine,American,11.6,60,100,11,75,43,89,89,46,0,54,106,17,97,3.995327,3.96729,3.929907,4.004673,3.847352,321
Mad River Brewing Company John Barleycorn Barleywine Ale,John Barleycorn Barleywine Ale,Mad River Brewing Company,Barleywine,American,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.789809,3.714968,3.673567,314
Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,Barrel Aged Behemoth,Three Floyds Brewing Co. & Brewpub,Barleywine,American,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92,4.348485,4.0,4.333333,4.469697,4.287879,33
Great Divide Brewing Company Barrel Aged Old Ruffian,Old Ruffian - Barrel-Aged,Great Divide Brewing Company,Barleywine,American,12.7,60,100,18,67,94,43,134,34,0,57,53,32,132,4.160714,3.845238,3.952381,4.136905,3.97619,84
Nøgne Ø - Det Kompromissløse Bryggeri A/S # 100,# 100,Nøgne Ø - Det Kompromissløse Bryggeri A/S,Barleywine,American,10.0,60,100,18,70,43,85,92,26,1,53,95,15,113,4.013761,4.15367,4.084862,4.094037,3.961009,218
AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,Old Numbskull - Bourbon Barrel-Aged,AleSmith Brewing Company,Barleywine,American,11.0,60,100,9,57,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.301587,4.349206,4.198413,63
DuClaw Brewing Company Devil's Milk,Devil's Milk,DuClaw Brewing Company,Barleywine,American,10.0,60,100,15,73,45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.896104,3.785714,77
Mikkeller ApS Big Worse,Big Worse,Mikkeller ApS,Barleywine,American,12.0,60,100,14,50,58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.688995,3.825359,3.600478,209
Santa Fe Brewing Company Chicken Killer Barley Wine,Chicken Killer Barley Wine,Santa Fe Brewing Company,Barleywine,American,10.0,60,100,13,41,40,61,85,38,0,47,61,4,104,3.566667,3.925926,3.7,3.607407,3.544444,135
Big Sky Brewing Company Olde Bluehair - Barrel Aged,Olde Bluehair Barley Wine,Big Sky Brewing Company,Barleywine,American,12.0,60,100,10,53,63,53,71,22,1,32,56,23,114,3.979452,3.986301,3.876712,4.068493,3.917808,73
Moylan's Brewery Old Blarney Barleywine,Old Blarney Barleywine,Moylan's Brewery,Barleywine,American,10.0,60,100,14,66,38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.936957,3.884783,3.821739,230
"Middle Ages Brewing Co., Ltd. Druid Fluid",Druid Fluid,"Middle Ages Brewing Co., Ltd.",Barleywine,American,9.5,60,100,25,55,39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.958159,3.943515,3.834728,239
Berkshire Brewing Company Inc. Holidale,Holidale,Berkshire Brewing Company Inc.,Barleywine,American,9.5,60,100,15,72,50,79,103,42,0,53,69,27,107,3.831325,3.987952,3.906627,3.990964,3.891566,166
Blue Point Brewing Company Blue Point Old Howling Bastard,Old Howling Bastard,Blue Point Brewing Company,Barleywine,American,10.0,60,100,9,59,37,45,100,34,0,44,60,11,115,3.826733,3.955446,3.841584,3.80198,3.717822,101
Free State Brewing Co. Old Backus Barleywine,Old Backus Barleywine,Free State Brewing Co.,Barleywine,American,10.5,60,100,7,62,45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.410714,4.491071,4.375,56
Firestone Walker Brewing Co. §ucaba (Abacus),§ucaba,Firestone Walker Brewing Co.,Barleywine,English,12.5,40,60,5,51,74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.292969,4.505208,4.375,384
Weyerbacher Brewing Co. Insanity,Insanity,Weyerbacher Brewing Co.,Barleywine,English,13.3,40,60,7,56,55,19,103,27,0,68,19,27,88,4.17916,4.03973,4.104948,4.238381,3.976012,667
Weyerbacher Brewing Co. Blithering Idiot,Blithering Idiot,Weyerbacher Brewing Co.,Barleywine,English,11.1,40,60,2,44,47,29,138,26,0,62,31,15,97,3.71981,3.777476,3.774084,3.74152,3.607191,737
Pelican Pub & Brewery Mother Of All Storms,Mother Of All Storms,Pelican Pub & Brewery,Barleywine,English,14.0,40,60,10,66,86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.397683,4.523166,4.281853,259
Anchor Brewing Company Anchor Old Foghorn,Old Foghorn,Anchor Brewing Company,Barleywine,English,10.0,40,60,10,62,37,56,116,36,0,82,64,15,110,3.935225,3.882762,3.862955,3.96788,3.853854,934
Firestone Walker Brewing Co. Double Double Barrel Ale,Double Double Barrel Ale,Firestone Walker Brewing Co.,Barleywine,English,12.0,40,60,10,45,49,16,67,13,0,35,9,32,101,3.911765,4.117647,4.058824,4.264706,4.117647,17
Deschutes Brewery Mirror Mirror,Mirror Mirror,Deschutes Brewery,Barleywine,English,11.0,40,60,18,56,19,32,119,28,0,77,29,18,104,4.122807,4.117794,4.154135,4.246867,4.096491,399
Midnight Sun Brewing Co. Arctic Devil Barley Wine,Arctic Devil Barley Wine,Midnight Sun Brewing Co.,Barleywine,English,13.2,40,60,10,72,69,28,123,23,0,49,23,24,141,4.38756,4.119617,4.334928,4.437799,4.19378,209
Flying Dog Brewery Horn Dog Barley Wine Style Ale,Horn Dog,Flying Dog Brewery,Barleywine,English,10.2,40,60,8,43,50,22,100,25,0,63,21,9,65,3.839923,3.845026,3.870536,3.885204,3.71301,784
Kuhnhenn Brewing Company Kuhnhenn Bourbon Barrel Barley Wine,Bourbon Barrel-Aged Barley Wine,Kuhnhenn Brewing Company,Barleywine,English,14.5,40,60,7,47,94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.169492,4.34322,4.152542,118
J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Lagavulin Whisky Cask),J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,English,11.5,40,60,9,54,59,11,126,22,1,64,6,54,74,4.135922,3.808252,3.985437,4.024272,3.742718,206
Dry Dock Brewing Co. Bligh's Barleywine Ale,Bligh's Barleywine Ale,Dry Dock Brewing Co.,Barleywine,English,10.0,40,60,4,62,64,13,123,31,0,46,7,18,96,4.44,4.07,4.23,4.5,4.45,50
J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Calvados Cask),J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,English,11.5,40,60,9,38,48,23,188,74,0,93,22,30,93,4.149171,3.80663,4.069061,4.151934,3.922652,181
J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Port Cask),J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,English,11.5,40,60,7,48,38,23,148,36,0,89,9,14,76,4.266272,3.914201,4.192308,4.289941,4.044379,169
Rock Art Brewery Ridge Runner,Ridge Runner,Rock Art Brewery,Barleywine,English,7.2,40,60,9,53,20,27,80,22,2,45,29,5,114,3.505556,3.769444,3.325,3.458333,3.591667,180
J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Sherry Cask),J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd,Barleywine,English,11.5,40,60,5,58,22,24,134,40,0,85,30,31,101,4.144828,3.868966,4.131034,4.134483,3.868966,145
Olde Hickory Brewery Irish Walker,Irish Walker,Olde Hickory Brewery,Barleywine,English,10.14,40,60,7,83,62,58,186,52,0,105,40,17,170,3.932692,3.980769,3.903846,3.971154,3.855769,52
Ridgeway Brewing Criminally Bad Elf,Criminally Bad Elf Barleywine-Style Ale,Ridgeway Brewing,Barleywine,English,10.5,40,60,13,63,52,34,125,44,0,82,52,14,92,3.457143,3.62,3.465714,3.445714,3.388571,175
Lift Bridge Brewery Commander,Commander,Lift Bridge Brewery,Barleywine,English,12.5,40,60,4,51,71,10,96,17,0,34,11,66,95,3.964286,3.821429,4.071429,4.035714,4.035714,14
Shipyard Brewing Co. Shipyard Barley Wine Style Ale (Pugsley's Signature Series),Pugsley's Signature Series: Barley Wine,Shipyard Brewing Co.,Barleywine,English,8.5,40,60,23,99,30,65,124,42,0,63,54,20,130,3.666667,3.949612,3.631783,3.604651,3.635659,129
Brouwerij De Molen Bommen & Granaten,Bommen & Granaten,Brouwerij De Molen,Barleywine,English,15.2,40,60,11,55,39,36,144,45,0,88,30,6,70,3.892857,3.440476,3.714286,3.845238,3.702381,42
Shipyard Brewing Co. Double Old Thumper Ale,Double Old Thumper Ale,Shipyard Brewing Co.,Barleywine,English,11.2,40,60,2,62,63,57,145,54,0,80,68,17,125,3.515873,3.928571,3.531746,3.452381,3.357143,63
Flossmoor Station Restaurant & Brewery Wooden Hell,Wooden Hell,Flossmoor Station Restaurant & Brewery,Barleywine,English,9.5,40,60,11,77,90,35,134,28,0,78,44,51,143,4.605263,4.177632,4.460526,4.605263,4.546053,76
Fuller Smith & Turner PLC Golden Pride,Golden Pride,Fuller Smith & Turner PLC,Barleywine,English,8.5,40,60,9,48,54,37,101,35,0,59,39,4,111,4.0,4.083333,4.006944,4.145833,3.958333,72
Pelican Pub & Brewery Stormwatcher's Winterfest,Stormwatcher's Winterfest,Pelican Pub & Brewery,Barleywine,English,13.0,40,60,7,57,46,29,122,26,2,74,30,16,130,4.188679,4.037736,4.169811,4.283019,4.113208,53
Stoudts Brewing Co. Old Abominable,Old Abominable,Stoudts Brewing Co.,Barleywine,English,9.0,40,60,11,51,23,29,114,33,6,53,36,4,91,3.761905,3.936508,3.738095,3.68254,3.801587,63
Fuller Smith & Turner PLC Fuller's ESB,Fuller's ESB,Fuller Smith & Turner PLC,Bitter,English Extra Special / Strong Bitter (ESB),5.9,20,40,15,59,16,41,63,23,0,37,57,10,67,3.912885,4.001216,4.036062,4.130065,4.194895,1234
Wychwood Brewery Company Ltd Hobgoblin,Hobgoblin Ruby,Wychwood Brewery Company Ltd,Bitter,English Extra Special / Strong Bitter (ESB),5.2,20,40,8,44,6,49,82,19,0,37,59,13,88,3.539135,3.813594,3.635427,3.720906,3.774974,971
Left Hand Brewing Company Sawtooth Ale,Sawtooth,Left Hand Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),5.3,20,40,18,37,2,55,53,18,0,25,78,0,117,3.566553,3.746587,3.673208,3.691126,3.832765,586
Southern Tier Brewing Company Harvest Ale,Harvest Ale,Southern Tier Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),6.7,20,40,18,26,11,74,21,23,0,26,105,9,52,3.938298,3.817021,3.803191,3.974468,4.071277,470
Shipyard Brewing Co. Old Thumper ESA,Old Thumper,Shipyard Brewing Co.,Bitter,English Extra Special / Strong Bitter (ESB),5.6,20,40,12,27,19,57,75,29,0,35,75,5,102,3.565574,3.729508,3.68306,3.741803,3.754098,366
Greene King / Morland Brewery Abbot Ale,Abbot Ale,Greene King / Morland Brewery,Bitter,English Extra Special / Strong Bitter (ESB),5.0,20,40,9,42,5,30,63,16,3,19,51,7,92,3.5,3.873512,3.712798,3.633929,3.764881,336
AleSmith Brewing Company Anvil Ale ESB,Anvil,AleSmith Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),5.5,20,40,12,56,8,54,57,20,3,25,68,3,118,3.774704,3.982213,3.897233,3.911067,4.037549,253
Stoudts Brewing Co. Stoudt's Scarlet Lady ESB,Scarlet Lady Ale,Stoudts Brewing Co.,Bitter,English Extra Special / Strong Bitter (ESB),5.0,20,40,18,32,4,50,45,21,0,15,82,2,89,3.490305,3.770083,3.555402,3.578947,3.747922,361
Three Floyds Brewing Co. & Brewpub Lord Admiral Nelson,Lord Rear Admiral,Three Floyds Brewing Co. & Brewpub,Bitter,English Extra Special / Strong Bitter (ESB),6.4,20,40,18,57,13,77,118,63,1,105,110,11,117,4.198276,4.193966,4.030172,4.198276,4.24569,116
Yards Brewing Co. Extra Special Ale (ESA),Extra Special Ale (ESA),Yards Brewing Co.,Bitter,English Extra Special / Strong Bitter (ESB),6.0,20,40,13,55,11,59,54,20,1,18,75,20,90,3.647773,3.888664,3.803644,3.813765,3.84413,247
Foster's Group Limited Foster's Premium Ale,Foster's Premium Ale,Foster's Group Limited,Bitter,English Extra Special / Strong Bitter (ESB),5.5,20,40,21,43,15,45,53,17,0,16,73,7,95,2.701613,3.387097,3.044355,2.919355,3.104839,124
Anderson Valley Brewing Company Boont ESB,Belk's ESB,Anderson Valley Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),6.8,20,40,21,48,16,83,48,43,1,52,123,22,73,3.69883,3.906433,3.817251,3.856725,3.798246,342
Green Man Brewery Green Man ESB,ESB,Green Man Brewery,Bitter,English Extra Special / Strong Bitter (ESB),5.5,20,40,15,39,7,46,65,23,0,29,70,6,123,3.553571,3.785714,3.839286,3.857143,3.910714,28
SweetWater Brewing Company Sweetwater Motor Boat,Motor Boat,SweetWater Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),5.6,20,40,18,48,6,92,57,38,2,39,144,9,87,3.757353,3.805147,3.698529,3.805147,3.878676,136
Ska Brewing Co. ESB Special Ale,ESB Special Ale,Ska Brewing Co.,Bitter,English Extra Special / Strong Bitter (ESB),5.7,20,40,21,59,8,61,70,35,1,32,86,12,126,3.403448,3.765517,3.631034,3.548276,3.768966,145
Short's Brewing Company Short's Autumn Ale,Autumn Ale,Short's Brewing Company,Bitter,English Extra Special / Strong Bitter (ESB),5.75,20,40,17,41,15,66,68,33,0,50,94,7,107,3.52027,3.641892,3.547297,3.486486,3.540541,74
